英文名稱,中文名稱
(nota) cambiata {It.},倚音
? 2 {Fr.},二
a 2 {It.},二
a battuta {It.},嚴守原節拍
a bene placito {It.},任意速度的
a cappella {It.},無伴奏
a capriccio {It.},任意的；隨意的
? deux {Fr.},二；打二拍
a due {It.},二；打二拍
? la corde {Fr.},弓不離弦；運弓時稍加壓力
a mezza voce {It.},一半音量
a piacere {It.},隨意表現
a prima vista {It.},視奏；視唱
? quatre mains {Fr.},四手聯彈
a quattro mani {It.},四手聯彈
A sharp,升Ａ
a tempo primo {It.},初速度
a tempo {It.},還原速度；回原速
? voix forte {Fr.},大聲的
A-DAT,八音軌數位錄音機
?2 {Fr.},雙
A2 {It.},雙
abad? {Br.},阿巴達鼓
abbandon? {Fr.},放任的；隨意的
abbandono {It.},放任的；隨意的
abbassare {It.},調低（音高）
abbellimenti {It.},裝飾音符
abbellimento {It.},裝飾音符
abbozzo {It.},草稿
abbreviation,簡略記法
abbreviatura {It.},簡略記法
abd?mpfen{Ger.},加弱音器
Abendlied {Ger.},晚間歌曲
Abendmusik {Ger.},晚間音樂會；晚間音樂
abertura ac?stica {Sp.},音孔
abgeleitete Stufen {Ger.},變化音
abgeleitete T?ne {Ger.},變化音
Abgesang {Ger.},副歌；副段
abgrenzter Kanon {Ger.},有終卡農
Abk?rzung {Ger.},簡略記法
abnehmend {Ger.},漸弱的
abr?viation{Fr.},簡略記法
abridged sonata-form,節略奏鳴曲式
Absatz {Ger.},休止
abschwellend {Ger.},漸弱的
absetzen {Ger.},斷奏；改編
absolute consonance,絕對協和
absolute consonant interval,絕對協和音程
absolute hearing,絕對音感
absolute music,絕對音樂
absolute Musik {Ger.},絕對音樂
absolute pitch,絕對音高
absolute threshold,絕對閾；刺激閾
absolute Tonh?he {Ger.},絕對音高
absolutes Geh?r {Ger.},絕對音感
abstossen {Ger.},斷奏；停用某個音栓
abstract music,抽象音樂
abstrakte Musik {Ger.},抽象音樂
Abstrich {Ger.},下弓
Abuba {Heb.},阿布巴笛
Abwechselnd {Ger.},交替
acad?mie{Fr.},學會；學院；音樂會
academy,學會；學院；音樂會
academy of music,音樂學院
Acalento {Por.},巴西搖籃曲｛巴西｝
accademia {It.},學會；學院；音樂會
accarezzevole {It.},愛撫的
accelerando {It.},漸快
accent,重音
accent {Fr.},重音
accent {Ger.},重音
accentato {It.},加重的
accented auxiliary note,強助音
accented bar,強小節
accented passing note,強經過音
accento {It.},重音
accentus {Lat.},主唱部份
accessary theme,次要主題
accessory tone,輔助音
accessory voices,伴唱聲部
acciaccato {It.},猛烈的；粗暴的
acciccatura {It.},碎音
accidental,臨時記號；變化記號
accidental chord,偶成和弦（絃）
accidente {It.},臨時記號；變化記號
accident{Fr.},臨時記號；變化記號
acclamation,歡呼歌
acclamazione {It.},歡呼歌
accolade {Fr.},連譜號
accompagnamento {It.},伴奏
accompagnato {It.},伴奏吟誦調
accompagnement {Fr.},伴奏
accompanied canon,有伴奏卡農
accompanied fugue,有伴奏復格
accompaniment,伴奏
accoppiare {It.},連結的；使用連結器的
accord alt?r? {Fr.},變化和弦（絃）
accord augment? {Fr.},增和弦（絃）
accord bris? {Fr.},分解和弦（絃）
accord consonant {Fr.},協和和弦（絃）
accord de cinqui?me et sixi?me {Fr.},六五和弦（絃）
accord de dominante {Fr.},屬和弦（絃）
accord de neuvi?me de dominante {Fr.},屬九和弦（絃）
accord de neuvi?me majeure {Fr.},大九和弦（絃）
accord de neuvi?me mineure {Fr.},小九和弦（絃）
accord de neuvi?me {Fr.},九和弦（絃）
accord de neuvi?me {Fr.},九和弦（絃）
accord de onzi?me {Fr.},十一和弦（絃）
accord de passage {Fr.},經過和弦（絃）
accord de quarte et sixte {Fr.},六四和弦（絃）
accord de quinte augment?e {Fr.},增三和弦（絃）
accord de quinte et sixte {Fr.},六五和弦（絃）
accord de seconde {Fr.},二和弦（絃）
accord de septi?me de dominante {Fr.},屬七和弦（絃）
accord de septi?me majeure {Fr.},大七和弦（絃）
accord de septi?me mineure {Fr.},小七和弦（絃）
accord de septi?me {Fr.},七和弦（絃）
accord de sixte augment?e {Fr.},增六和弦（絃）
accord de sixte {Fr.},六和弦（絃）
accord de treizi?me {Fr.},十三和弦（絃）
accord de tritons {Fr.},減三和弦（絃）
accord de trois sons {Fr.},三和弦（絃）
accord de troisi?me et quatri?me {Fr.},四三和弦（絃）
accord dissonant {Fr.},不協和和弦（絃）
accord d’emprunt {Fr.},借用和弦（絃）
accord imparfait {Fr.},不完全和弦（絃）
accord par quartes {Fr.},四度和弦（絃）
