英文名稱,中文名稱,生歿年,國籍,專長
"Aavik, Juhan",阿維克,1884-1982,瑞典,作曲；指揮
"Abaco, Evaristo Felice dall'",阿巴科,1675-1742,義大利,小提琴；作曲
"Abba-Cornaglia, Pietro",阿巴－寇納利亞,1851-1894,義大利,作曲；音樂史
"Abbado, Claudio","阿巴多,克勞迪歐",1933-2014,義大利,指揮
"Abbado, Marcello","阿巴多,馬切羅",1926-,義大利,鋼琴；作曲
"Abbatini, Antonio Maria",阿巴悌尼,1609-1679,義大利,作曲
"Abbott, Emma",阿伯特,1850-1891,美國,聲樂
"Abe, Keiko",安部圭子,1937-,日本,擊樂
"Abe, Komei",安部幸明,1911-,日本,作曲；指揮；大提琴
"Abeille, Johann Christian Ludwig",阿拜勒,1761-1838,德國,鋼琴；管風琴；作曲
"Abel, Carl Friedrich","阿貝爾,卡爾",1723-1787,德國,作曲
"Abel, Leopold August","阿貝爾,雷歐波德",1718-1794,德國,作曲；小提琴
"Abels, Michael",艾伯斯,1926-,美國,作曲
"Abercrombie, Alexander",阿伯克隆比,1949-,英國,鋼琴；作曲
"Abert, Hermann",阿貝特,1871-1927,德國,音樂學
"Abondante, Giulio",阿邦旦特,ca.1546-1587,義大利,作曲；魯特琴
"Abos, Girolamo",阿伯斯,ca.1700-1760,義大利,作曲
"Aboulker, Isabelle",阿布克,1938-,法國,作曲
"Abrahamsen, Hans",阿布拉韓森,1952-,丹麥,作曲
"Abram, Jacques",艾布蘭,1915-,美國,鋼琴
"Abramovitz, David????",艾布拉莫維茲,1949-,美國,鋼琴
"Abramsky, Alexander",阿布拉姆斯基,1898-1985,俄國,作曲
"?br?nyi, Emil",阿布蘭易,1882-1970,匈牙利,作曲
"Abras, Juan Manuel",阿布拉斯,1975-,瑞典,作曲
"Abravanel, Maurice",阿布拉瓦內,1903-1993,美國,指揮
"Absil, Jean",阿布西,1893-1974,比利時,作曲
"Abt, Franz",阿普特,1819-1885,德國,作曲；指揮
"Abyngdon, Henry",艾賓登,ca.1418-1497,英國,管風琴；作曲
"Accardo, Salvatore",阿卡多,1941-,義大利,小提琴；指揮
"Achterkamp, Jan",阿許特坎普,1953-,荷蘭,作曲
"Achucarro, Joaqu?n",阿楚卡若,1932-,西班牙,鋼琴
"Ackermann, Otto",阿克曼,1909-1960,羅馬尼亞,指揮
"Ackte, Aino",阿克特,1876-1944,芬蘭,聲樂
"Ada, Selman","阿達,瑟爾曼",1953-,土耳其,作曲
"Adajewska, Ella von",阿達耶芙絲卡,1846-1926,俄國,作曲；鋼琴
Adam de la Halle,阿當‧德‧拉‧阿勒,ca.1235-1287,法國,作曲
"Adam, Adolphe-Charles","阿當,阿朵夫－夏勒",1803-1856,法國,作曲
"Adamberger, Valentin",阿當貝格爾,1743-1804,德國,聲樂
"Adamis, Michael George",阿達米斯,1929-,希臘,作曲
"Adamovich, Mikhail????",阿達莫維奇,1884-1947,俄國,鋼琴；指揮
"Adams, John","阿當斯,約翰",1947-,美國,作曲
"Adams, John Luther","阿當斯,約翰‧路德",1953-,美國,作曲
"Adams, Leslie","阿當斯,雷斯立",1932-,美國,作曲
"Adams, Thomas","阿當斯,湯瑪斯",1785-1858,英國,作曲
"Adan, Marie Claire","阿當,瑪莉‧克萊爾",1926-,法國,管風琴
"Addinsell, Richard",阿丁瑟爾,1904-1977,英國,作曲
"Addison, John",阿迪森,1766-1844,英國,作曲
"Addison, John",阿迪森,1920-1998,英國,作曲
"Adeney, Richard",阿登尼,1920-,英國,長笛
"Adler, Guido","阿德勒,桂多",1855-1941,奧地利,音樂學
"Adler, Kurt","阿德勒,庫特",1907-1977,捷克,指揮；鋼琴
"Adler, Kurt Herbert","阿德勒,庫特赫貝特",1905-1988,奧地利,指揮
"Adler, Larry","艾德勒,拉瑞",1914-1990,美國,口琴
